""	"TCGA.H6.8124.01A"	"TCGA.IB.AAUT.01A"	"TCGA.F2.6879.01A"	"TCGA.IB.AAUU.01A"	"TCGA.HV.A5A5.01A"	"TCGA.2L.AAQI.01A"	"TCGA.HV.A7OL.01A"	"TCGA.3A.A9IO.01A"	"TCGA.Q3.AA2A.01A"	"TCGA.HZ.7925.01A"	"TCGA.US.A77E.01A"	"TCGA.2J.AABE.01A"	"TCGA.FB.AAQ2.01A"	"TCGA.XD.AAUI.01A"	"TCGA.HZ.A77P.01A"	"TCGA.2J.AABR.01A"	"TCGA.3A.A9IL.01A"	"TCGA.3A.A9I9.01A"	"TCGA.HV.A5A6.01A"	"TCGA.3E.AAAZ.01A"	"TCGA.HZ.7923.01A"	"TCGA.US.A776.01A"	"TCGA.IB.7893.01A"	"TCGA.F2.A8YN.01A"	"TCGA.FB.AAQ6.01A"	"TCGA.HZ.A49I.01A"	"TCGA.2J.AABP.01A"	"TCGA.HZ.8636.01A"	"TCGA.HZ.8001.01A"	"TCGA.IB.7889.01A"	"TCGA.Z5.AAPL.01A"	"TCGA.FB.A545.01A"	"TCGA.HZ.A49H.01A"	"TCGA.HZ.8003.01A"	"TCGA.XD.AAUL.01A"	"TCGA.LB.A8F3.01A"	"TCGA.2J.AABO.01A"	"TCGA.IB.A6UG.01A"	"TCGA.FB.A7DR.01A"	"TCGA.LB.A7SX.01A"	"TCGA.2J.AABF.01A"	"TCGA.RB.A7B8.01A"	"TCGA.FB.AAPZ.01A"	"TCGA.IB.A5ST.01A"	"TCGA.IB.7885.01A"	"TCGA.FB.AAQ1.01A"	"TCGA.IB.A5SP.01A"	"TCGA.IB.7652.01A"	"TCGA.HZ.8317.01A"	"TCGA.YH.A8SY.01A"	"TCGA.IB.7897.01A"	"TCGA.2J.AABA.01A"	"TCGA.IB.AAUV.01A"	"TCGA.IB.7647.01A"	"TCGA.2L.AAQL.01A"	"TCGA.IB.7644.01A"	"TCGA.IB.AAUO.01A"	"TCGA.IB.7888.01A"	"TCGA.FB.A78T.01A"	"TCGA.2J.AABK.01A"	"TCGA.M8.A5N4.01A"	"TCGA.HZ.7918.01A"	"TCGA.F2.A7TX.01A"	"TCGA.HZ.8315.01A"	"TCGA.3A.A9IJ.01A"	"TCGA.IB.A7LX.01A"	"TCGA.PZ.A5RE.01A"	"TCGA.L1.A7W4.01A"	"TCGA.S4.A8RO.01A"	"TCGA.S4.A8RP.01A"	"TCGA.US.A77J.01A"	"TCGA.HZ.A77O.01A"	"TCGA.IB.AAUR.01A"	"TCGA.IB.AAUP.01A"	"TCGA.US.A774.01A"	"TCGA.3A.A9J0.01A"	"TCGA.US.A779.01A"	"TCGA.HZ.A4BK.01A"	"TCGA.2L.AAQJ.01A"	"TCGA.HZ.A9TJ.01A"	"TCGA.FB.AAPP.01A"	"TCGA.2J.AABV.01A"	"TCGA.2J.AABT.01A"	"TCGA.IB.8127.01A"	"TCGA.FB.AAPQ.01A"	"TCGA.IB.AAUM.01A"	"TCGA.HZ.A8P0.01A"	"TCGA.XD.AAUG.01A"	"TCGA.HZ.A49G.01A"	"TCGA.F2.A44G.01A"	"TCGA.IB.A7M4.01A"	"TCGA.HZ.8519.01A"	"TCGA.HZ.A8P1.01A"	"TCGA.HZ.8638.01A"	"TCGA.IB.7649.01A"	"TCGA.F2.6880.01A"	"TCGA.H8.A6C1.01A"	"TCGA.F2.7273.01A"	"TCGA.IB.7887.01A"	"TCGA.HZ.A77Q.01A"	"TCGA.H6.A45N.01A"	"TCGA.2J.AAB8.01A"	"TCGA.FB.AAQ3.01A"	"TCGA.YY.A8LH.01A"	"TCGA.HZ.7924.01A"	"TCGA.XN.A8T5.01A"	"TCGA.2J.AABH.01A"	"TCGA.FB.AAPY.01A"	"TCGA.HZ.A4BH.01A"	"TCGA.2L.AAQM.01A"	"TCGA.3A.A9I5.01A"	"TCGA.F2.A44H.01A"	"TCGA.IB.8126.01A"	"TCGA.HV.A5A3.01A"	"TCGA.3A.A9I7.01A"	"TCGA.3A.A9IZ.01A"	"TCGA.OE.A75W.01A"	"TCGA.IB.AAUW.01A"	"TCGA.FB.AAQ0.01A"	"TCGA.2J.AAB4.01A"	"TCGA.HV.AA8X.01A"	"TCGA.XN.A8T3.01A"	"TCGA.US.A77G.01A"	"TCGA.XD.AAUH.01A"	"TCGA.2J.AABI.01A"	"TCGA.3A.A9IR.01A"	"TCGA.IB.AAUS.01A"	"TCGA.LB.A9Q5.01A"	"TCGA.FB.AAPS.01A"	"TCGA.HZ.7289.01A"	"TCGA.FB.A4P6.01A"	"TCGA.Q3.A5QY.01A"	"TCGA.3A.A9IC.01A"	"TCGA.IB.7646.01A"	"TCGA.HV.AA8V.01A"	"TCGA.HZ.7922.01A"	"TCGA.IB.AAUN.01A"	"TCGA.YB.A89D.01A"	"TCGA.HZ.7926.01A"	"TCGA.F2.7276.01A"	"TCGA.FB.A4P5.01A"	"TCGA.IB.7651.01A"	"TCGA.HZ.8002.01A"	"TCGA.2L.AAQE.01A"	"TCGA.HZ.7920.01A"	"TCGA.IB.A5SO.01A"	"TCGA.2J.AAB6.01A"	"TCGA.HV.A5A4.01A"	"TCGA.HZ.7919.01A"	"TCGA.FB.A5VM.01A"	"TCGA.2J.AAB1.01A"	"TCGA.RB.AA9M.01A"	"TCGA.IB.A6UF.01A"	"TCGA.IB.A5SQ.01A"	"TCGA.HV.A7OP.01A"	"TCGA.3A.A9IN.01A"	"TCGA.FB.AAPU.01A"	"TCGA.IB.7891.01A"	"TCGA.2J.AAB9.01A"	"TCGA.IB.7890.01A"	"TCGA.IB.A5SS.01A"	"TCGA.3A.A9IX.01A"	"TCGA.3A.A9IV.01A"	"TCGA.3A.A9IU.01A"	"TCGA.HZ.8005.01A"	"TCGA.2L.AAQA.01A"	"TCGA.IB.7886.01A"	"TCGA.IB.AAUQ.01A"	"TCGA.RL.AAAS.01A"	"TCGA.3A.A9IS.01A"	"TCGA.IB.7645.01A"	"TCGA.3A.A9IH.01A"	"TCGA.3A.A9IB.01A"	"TCGA.2J.AABU.01A"	"TCGA.3E.AAAY.01A"	"TCGA.IB.7654.01A"	"TCGA.HZ.8637.01A"	"TCGA.S4.A8RM.01A"
"TCGA.H6.8124.01A"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TCGA.IB.AAUT.01A"	"0.911586878420683"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TCGA.F2.6879.01A"	"0.934007304020924"	"0.92272203129867"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TCGA.IB.AAUU.01A"	"0.968372629165294"	"0.92441986642334"	"0.940085878467611"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TCGA.HV.A5A5.01A"	"0.928786098359813"	"0.985821188121036"	"0.954291732147315"	"0.936423235065302"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TCGA.2L.AAQI.01A"	"0.959769669779297"	"0.958743710469872"	"0.970655858170843"	"0.960151711060325"	"0.966957824287393"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TCGA.HV.A7OL.01A"	"0.827052030453199"	"0.883780745374493"	"0.924191197683118"	"0.845092683133318"	"0.926761286001283"	"0.894240820263926"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TCGA.3A.A9IO.01A"	"0.778410911036852"	"0.817959968676864"	"0.787810003617243"	"0.818026136687043"	"0.829776891859427"	"0.843109455820306"	"0.792674743081639"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TCGA.Q3.AA2A.01A"	"0.897584467911449"	"0.908796737184847"	"0.97149680387797"	"0.905618354780835"	"0.942291223327221"	"0.962704030462565"	"0.970462063226315"	"0.8266547256975"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TCGA.HZ.7925.01A"	"0.978311890284279"	"0.949319078829335"	"0.9603028595331"	"0.969229927537199"	"0.971578417988566"	"0.980360508965438"	"0.897781945777284"	"0.867223984318442"	"0.945317872954792"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
